family	uniprot_acc	merops	refseq_protein	gene	organism	length	protein_existence
S1	G3V801	S01.237;	NP_445956.1	Prss12	Rattus norvegicus (Rat)	761	Evidence at protein level
S1	O08762	S01.237;	NP_032965.1	Prss12	Mus musculus (Mouse)	761	Evidence at protein level
S1	P00758	S01.405;	NP_113711.1	Ngfg	Rattus norvegicus (Rat)	261	Evidence at transcript level
S1	P00760	S01.151;	NP_001107199.1	PRSS1	Bos taurus (Bovine)	246	Evidence at protein level
S1	P03953	S01.191;	NP_001278844.1	Cfd	Mus musculus (Mouse)	259	Evidence at protein level
S1	P07146	S01.064;	NP_033456.1	Prss2	Mus musculus (Mouse)	246	Evidence at protein level
S1	P07647	S01.407;	NP_786935.1	Klk9	Rattus norvegicus (Rat)	259	Evidence at protein level
S1	P15945	S01.037;	NP_032482.1	Klk1b5	Mus musculus (Mouse)	261	Evidence at transcript level
S1	P32038	S01.191;	NP_001071110.1	Cfd	Rattus norvegicus (Rat)	263	Evidence at protein level
S1	P81187	S01.196;	NP_001035616.1	CFB	Bos taurus (Bovine)	761	Evidence at protein level
S1	P83748	S01.042;		Prss30	Rattus norvegicus (Rat)	304	Evidence at protein level
S1	P98064	S01.132;S01.198;	NP_001346012.1	Masp1	Mus musculus (Mouse)	704	Evidence at protein level
S1	Q08048	S01.982;	NP_001276387.1	Hgf	Mus musculus (Mouse)	728	Evidence at protein level
S1	Q14BX2	S01.415;	NP_001074532.1	Prss55	Mus musculus (Mouse)	321	Evidence at protein level
S1	Q28153	S01.153;	NP_776473.1	CELA1	Bos taurus (Bovine)	266	Evidence at transcript level
S1	Q3V0Q7	S01.958;	NP_898932.2	Tmprss12	Mus musculus (Mouse)	336	Evidence at protein level
S1	Q61759	S01.038;	NP_034772.1	Klk1b21	Mus musculus (Mouse)	261	Evidence at transcript level
S1	Q8K3U6	S01.215;	NP_690059.1	F7	Rattus norvegicus (Rat)	446	Evidence at transcript level
S1	Q9ES87	S01.159;	NP_620191.1	Prss8	Rattus norvegicus (Rat)	342	Evidence at transcript level
S1	Q9JIQ8	S01.247;	NP_056590.2	Tmprss2	Mus musculus (Mouse)	490	Evidence at transcript level
S1	Q9JM71	S01.073;	NP_064664.1	Klk1b27	Mus musculus (Mouse)	263	Evidence at protein level
S1	Q9R098	S01.228;	NP_062320.2	Hgfac	Mus musculus (Mouse)	653	Evidence at protein level
S1	A8JUP7	S01.B45;	NP_001097020.1	Hayan	Drosophila melanogaster (Fruit fly)	637	Evidence at transcript level
S1	B7YZU2	S01.B34;	NP_001137622.1	flz	Drosophila melanogaster (Fruit fly)	1693	Evidence at transcript level
S1	F2YMG0	S01.514;S01.951;	NP_081360.1	Prss56	Mus musculus (Mouse)	604	Evidence at transcript level
S1	O35205	S01.146;	NP_032222.1	Gzmk	Mus musculus (Mouse)	263	Evidence at transcript level
S1	O35453	S01.224;	NP_001103722.1	Hpn	Mus musculus (Mouse)	436	Evidence at protein level
S1	O62589	S01.202;	NP_001259478.1	gd	Drosophila melanogaster (Fruit fly)	531	Evidence at protein level
S1	P00735	S01.217;	NP_776302.1	F2	Bos taurus (Bovine)	625	Evidence at protein level
S1	P00741	S01.214;		F9	Bos taurus (Bovine)	462	Evidence at protein level
S1	P00743	S01.216;	NP_001073682.1	F10	Bos taurus (Bovine)	492	Evidence at protein level
S1	P00757	S01.931;	NP_035045.2	Klk1b4	Mus musculus (Mouse)	256	Evidence at protein level
S1	P00759	S01.172;	NP_036809.1	Klk2	Rattus norvegicus (Rat)	259	Evidence at protein level
S1	P00763	S01.119;	NP_036861.1	Prss2	Rattus norvegicus (Rat)	246	Evidence at protein level
S1	P04187	S01.136;	NP_038570.1	Gzmb	Mus musculus (Mouse)	247	Evidence at protein level
S1	P06868	S01.233;	NP_776376.1	PLG	Bos taurus (Bovine)	812	Evidence at protein level
S1	P06869	S01.231;	NP_032899.1	Plau	Mus musculus (Mouse)	433	Evidence at protein level
S1	P08884	S01.399;	NP_034503.2	Gzme	Mus musculus (Mouse)	248	Evidence at protein level
S1	P11214	S01.232;	NP_032898.2	Plat	Mus musculus (Mouse)	559	Evidence at protein level
S1	P14272	S01.212;		Klkb1	Rattus norvegicus (Rat)	638	Evidence at protein level
S1	P17945	S01.978;	NP_058713.1	Hgf	Rattus norvegicus (Rat)	728	Evidence at protein level
S1	P18291	S01.091;	NP_612526.2	Gzmb	Rattus norvegicus (Rat)	248	Evidence at protein level
S1	P19221	S01.217;	NP_034298.1	F2	Mus musculus (Mouse)	618	Evidence at protein level
S1	P20918	S01.233;	NP_032903.3	Plg	Mus musculus (Mouse)	812	Evidence at protein level
S1	P21845	S01.025;		Tpsb2	Mus musculus (Mouse)	276	Evidence at protein level
S1	P26928	S01.975;	NP_032269.3	Mst1	Mus musculus (Mouse)	716	Evidence at transcript level
S1	P31394	S01.218;	NP_036935.1	Proc	Rattus norvegicus (Rat)	461	Evidence at transcript level
S1	P36368	S01.173;	NP_034245.3	Egfbp2	Mus musculus (Mouse)	261	Evidence at protein level
S1	P70375		NP_034302.2	F7	Mus musculus (Mouse)	446	Evidence at protein level
S1	P98159	S01.013;	NP_523947.2	ndl	Drosophila melanogaster (Fruit fly)	2616	Evidence at protein level
S1	Q01177	S01.233;	NP_445943.1	Plg	Rattus norvegicus (Rat)	812	Evidence at transcript level
S1	Q05511	S01.224;	NP_058808.1	Hpn	Rattus norvegicus (Rat)	416	Evidence at transcript level
S1	Q17800	S01.B69;	NP_501379.2	svh-1	Caenorhabditis elegans	951	Evidence at protein level
S1	Q3SYW2	S01.194;	NP_001029664.1	C2	Bos taurus (Bovine)	750	Evidence at transcript level
S1	Q5S248	S01.021;	NP_766468.1	Tmprss11e	Mus musculus (Mouse)	423	Evidence at protein level
S1	Q61096	S01.134;	NP_035308.2	Prtn3	Mus musculus (Mouse)	254	Evidence at protein level
S1	Q61129	S01.199;	NP_031712.2	Cfi	Mus musculus (Mouse)	603	Evidence at protein level
S1	Q6P6T1	S01.193;S01.210;	NP_620255.2	C1s	Rattus norvegicus (Rat)	688	Evidence at transcript level
S1	Q7K5M0		NP_610180.1	scaf	Drosophila melanogaster (Fruit fly)	655	Evidence at protein level
S1	Q8VCA5	S01.034;	NP_663378.1	Tmprss4	Mus musculus (Mouse)	435	Evidence at transcript level
S1	Q9R0T7	S01.057;	NP_035776.1	Try4	Mus musculus (Mouse)	246	Evidence at protein level
S1	Q9V3Z2	S01.203;	NP_649734.2	Sp7	Drosophila melanogaster (Fruit fly)	391	Evidence at protein level
S1	Q9VB68	S01.502;	NP_651543.1	grass	Drosophila melanogaster (Fruit fly)	377	Evidence at protein level
S1	Q9VCJ8	S01.462;	NP_651168.1	SPE	Drosophila melanogaster (Fruit fly)	400	Evidence at protein level
S1	Q9VER6	S01.508;	NP_536776.2	modSP	Drosophila melanogaster (Fruit fly)	628	Evidence at protein level
S1	P00756	S01.170;	NP_032719.1	Klk1b3	Mus musculus (Mouse)	261	Evidence at protein level
S1	P06866	S01.972;	NP_036714.2	Hp	Rattus norvegicus (Rat)	347	Evidence at protein level
S1	P08882	S01.137;	NP_001409139.1	Gzmc	Mus musculus (Mouse)	248	Evidence at protein level
S1	P15946	S01.041;	NP_034770.1	Klk1b11	Mus musculus (Mouse)	261	Evidence at transcript level
S1	P15948	S01.039;	NP_034244.1	Klk1b22	Mus musculus (Mouse)	259	Evidence at protein level
S1	P16296	S01.214;	NP_113728.1	F9	Rattus norvegicus (Rat)	462	Evidence at protein level
S1	P17977	S01.133;	NP_001099511.1	Ctsg	Rattus norvegicus (Rat)	250	Evidence at protein level
S1	P21180	S01.194;	NP_038512.2	C2	Mus musculus (Mouse)	760	Evidence at protein level
S1	P23578	S01.223;	NP_038483.1	Acr	Mus musculus (Mouse)	436	Evidence at protein level
S1	P29598	S01.231;		Plau	Rattus norvegicus (Rat)	432	Evidence at protein level
S1	P33587	S01.218;	NP_001036232.1	Proc	Mus musculus (Mouse)	460	Evidence at protein level
S1	P36375	S01.165;	NP_001128645.1	Klk10	Rattus norvegicus (Rat)	259	Evidence at protein level
S1	P80219	S01.142;	NP_776721.1	BDMD1	Bos taurus (Bovine)	251	Evidence at protein level
S1	Q02844	S01.026;	NP_112464.4	Tpsab1	Mus musculus (Mouse)	273	Evidence at transcript level
S1	Q1JRP2	S01.294;	NP_001025468.1	Tmprss11c	Mus musculus (Mouse)	431	Evidence at protein level
S1	Q3UP87	S01.131;	NP_056594.2	Elane	Mus musculus (Mouse)	265	Evidence at protein level
S1	Q5U405	S01.087;		Tmprss13	Mus musculus (Mouse)	543	Evidence at transcript level
S1	Q61955	S01.244;	NP_001311327.1	Klk8	Mus musculus (Mouse)	260	Evidence at protein level
S1	Q7M761	S01.320;	NP_766496.2	Ovch2	Mus musculus (Mouse)	609	Evidence at transcript level
S1	Q8CFG9	S01.209;	NP_001106827.1	C1rb	Mus musculus (Mouse)	706	Evidence at transcript level
S1	Q8CHN8	S01.198;	NP_071593.2	Masp1	Rattus norvegicus (Rat)	704	Evidence at protein level
S1	Q8K1T0	S01.079;	NP_001157248.1	Tmprss3	Mus musculus (Mouse)	453	Evidence at protein level
S1	Q8VHK8		NP_663536.1	Tmprss11d	Mus musculus (Mouse)	417	Evidence at protein level
S1	Q91WP0	S01.229;	NP_001003893.1	Masp2	Mus musculus (Mouse)	685	Evidence at protein level
S1	Q9DAA4	S01.989;	NP_001404585.1	Prss37	Mus musculus (Mouse)	237	Evidence at protein level
S1	O88780	S01.244;		Klk8	Rattus norvegicus (Rat)	260	Evidence at transcript level
S1	O88947	S01.216;	NP_031998.3	F10	Mus musculus (Mouse)	481	Evidence at protein level
S1	P00745	S01.218;		PROC	Bos taurus (Bovine)	456	Evidence at protein level
S1	P00762	S01.094;	NP_036767.1	Prss1	Rattus norvegicus (Rat)	246	Evidence at protein level
S1	P05049	S01.200;	NP_001097766.1	snk	Drosophila melanogaster (Fruit fly)	435	Evidence at protein level
S1	P07628	S01.067;	NP_032483.1	Klk1b8	Mus musculus (Mouse)	261	Evidence at transcript level
S1	P08883	S01.401;	NP_034504.1	Gzmf	Mus musculus (Mouse)	248	Evidence at protein level
S1	P11032	S01.135;	NP_034500.1	Gzma	Mus musculus (Mouse)	260	Evidence at protein level
S1	P16294	S01.214;	NP_001292726.1	F9	Mus musculus (Mouse)	471	Evidence at transcript level
S1	P22457	S01.215;	NP_001029978.1	F7	Bos taurus (Bovine)	447	Evidence at protein level
S1	P28293	S01.133;	NP_031826.1	Ctsg	Mus musculus (Mouse)	261	Evidence at protein level
S1	P36369	S01.070;S01.173;	NP_034774.1	Klk1b26	Mus musculus (Mouse)	261	Evidence at transcript level
S1	P56677	S01.302;	NP_035306.2	St14	Mus musculus (Mouse)	855	Evidence at protein level
S1	P98072	S01.156;	NP_776864.1	TMPRSS15	Bos taurus (Bovine)	1035	Evidence at protein level
S1	Q05589	S01.231;	NP_776572.1	PLAU	Bos taurus (Bovine)	433	Evidence at transcript level
S1	Q0VCX1	S01.193;	NP_001070018.1	C1S	Bos taurus (Bovine)	689	Evidence at transcript level
S1	Q28198	S01.232;	NP_776571.2	PLAT	Bos taurus (Bovine)	566	Evidence at transcript level
S1	Q402U7	S01.106;	NP_683742.2	Prss44	Mus musculus (Mouse)	372	Evidence at transcript level
S1	Q76HL1	S01.099;	NP_955765.1	Prss43	Mus musculus (Mouse)	382	Evidence at protein level
S1	Q80YC5	S01.211;	NP_067464.2	F12	Mus musculus (Mouse)	597	Evidence at protein level
S1	Q8BIK6	S01.072;	NP_766043.3	Tmprss7	Mus musculus (Mouse)	829	Evidence at protein level
S1	Q91VE3	S01.300;	NP_036002.1	Klk7	Mus musculus (Mouse)	249	Evidence at protein level
S1	Q91Y47	S01.213;	NP_082342.1	F11	Mus musculus (Mouse)	624	Evidence at transcript level
S1	Q924N9	S01.314;	NP_444489.2	Prss28	Mus musculus (Mouse)	274	Evidence at protein level
S1	Q9DBI0	S01.308;	NP_082178.2	Tmprss6	Mus musculus (Mouse)	811	Evidence at protein level
S1	Q9ESD1	S01.159;		Prss8	Mus musculus (Mouse)	342	Evidence at transcript level
S1	Q9Z319	S01.019;	NP_001116228.1	Corin	Mus musculus (Mouse)	1113	Evidence at transcript level
S1	D3ZTE0	S01.211;	NP_001014028.1	F12	Rattus norvegicus (Rat)	595	Evidence at transcript level
S1	O01887	S01.B74;	NP_505421.3	try-5	Caenorhabditis elegans	327	Evidence at protein level
S1	P00755	S01.164;	NP_034775.1	Klk1b1	Mus musculus (Mouse)	261	Evidence at transcript level
S1	P00773	S01.153;	NP_036684.1	Cela1	Rattus norvegicus (Rat)	266	Evidence at protein level
S1	P04186	S01.196;		Cfb	Mus musculus (Mouse)	761	Evidence at protein level
S1	P05208	S01.155;	NP_031945.1	Cela2a	Mus musculus (Mouse)	271	Evidence at protein level
S1	P07338	S01.152;	NP_036668.2	Ctrb1	Rattus norvegicus (Rat)	263	Evidence at protein level
S1	P13582	S01.201;	NP_524362.2	ea	Drosophila melanogaster (Fruit fly)	392	Evidence at protein level
S1	P15947	S01.167;	NP_001307260.1	Klk1	Mus musculus (Mouse)	261	Evidence at protein level
S1	P15949	S01.071;	NP_034246.1	Klk1b9	Mus musculus (Mouse)	261	Evidence at transcript level
S1	P18292	S01.217;		F2	Rattus norvegicus (Rat)	617	Evidence at protein level
S1	P19637	S01.232;	NP_037283.2	Plat	Rattus norvegicus (Rat)	559	Evidence at transcript level
S1	P21812	S01.149;	NP_034909.2	Mcpt4	Mus musculus (Mouse)	246	Evidence at protein level
S1	P21844	S01.150;	NP_034910.2	Cma1	Mus musculus (Mouse)	247	Evidence at protein level
S1	P26262	S01.212;	NP_032481.2	Klkb1	Mus musculus (Mouse)	638	Evidence at protein level
S1	P27435	S01.026;S01.143;	NP_062195.2	Tpsab1	Rattus norvegicus (Rat)	273	Evidence at protein level
S1	P29293	S01.223;	NP_036622.2	Acr	Rattus norvegicus (Rat)	437	Evidence at transcript level
S1	P36373	S01.406;	NP_036725.2	Klk7	Rattus norvegicus (Rat)	261	Evidence at protein level
S1	P49864	S01.146;	NP_058815.1	Gzmk	Rattus norvegicus (Rat)	258	Evidence at protein level
S1	P50339	S01.150;	NP_037224.1	Cma1	Rattus norvegicus (Rat)	247	Evidence at transcript level
S1	Q05319	S01.225;	NP_001287355.1	Sb	Drosophila melanogaster (Fruit fly)	787	Evidence at transcript level
S1	Q06605	S01.097;	NP_001316820.1		Rattus norvegicus (Rat)	248	Evidence at transcript level
S1	Q61646	S01.972;	NP_059066.1	Hp	Mus musculus (Mouse)	347	Evidence at protein level
S1	Q63207	S01.216;	NP_058839.1	F10	Rattus norvegicus (Rat)	482	Evidence at protein level
S1	Q80YN4	S01.019;	NP_872279.2	Corin	Rattus norvegicus (Rat)	1111	Evidence at protein level
S1	Q8CFG8	S01.210;	NP_776289.2	C1s2	Mus musculus (Mouse)	688	Evidence at transcript level
S1	Q8CG14	S01.360;	NP_001091086.1	C1s1	Mus musculus (Mouse)	688	Evidence at transcript level
S1	Q8CG16	S01.209;	NP_075632.3	C1ra	Mus musculus (Mouse)	707	Evidence at protein level
S1	Q8VHJ4	S01.047;	NP_001028824.2	Tmprss11d	Rattus norvegicus (Rat)	417	Evidence at transcript level
S1	Q8VIF2	S01.317;	NP_694739.1	Prss42	Mus musculus (Mouse)	335	Evidence at protein level
S1	Q91X79	S01.153;	NP_291090.2	Cela1	Mus musculus (Mouse)	266	Evidence at protein level
S1	Q99MS4	S01.315;	NP_444490.2	Prss29	Mus musculus (Mouse)	279	Evidence at protein level
S1	Q9JHJ7	S01.011;	NP_065233.2	Prss21	Mus musculus (Mouse)	324	Evidence at protein level
S1	Q9JJS8	S01.229;	NP_742040.1	Masp2	Rattus norvegicus (Rat)	685	Evidence at protein level
S1	Q9QUK9	S01.057;S01.058;	NP_001003405.1	Try5	Mus musculus (Mouse)	246	Evidence at protein level
S1	Q9VP95	S01.A29;	NP_649270.1	Sems	Drosophila melanogaster (Fruit fly)	275	Evidence at protein level
S1	Q9VWU1	S01.421;	NP_573297.1	psh	Drosophila melanogaster (Fruit fly)	394	Evidence at protein level
S1	Q9VZH2	S01.024;	NP_001261408.1	mas	Drosophila melanogaster (Fruit fly)	1047	Evidence at protein level
S1	Q9Z0M1	S01.251;	NP_064312.1	Klk4	Mus musculus (Mouse)	255	Evidence at protein level
S1	A0A1S4HE51			SPCLIP1	Anopheles gambiae (African malaria mosquito)	416	Evidence at protein level
S1	P00752				Sus scrofa (Pig)	246	Evidence at protein level
S1	P00772	S01.153;	NP_998988.1	CELA1	Sus scrofa (Pig)	266	Evidence at protein level
S1	P06867	S01.233;	NP_001038055.1	PLG	Sus scrofa (Pig)	809	Evidence at protein level
S1	P16293	S01.214;		F9	Sus scrofa (Pig)	409	Evidence at protein level
S1	P19006	S01.972;		HP	Canis lupus familiaris (Dog) (Canis familiaris)	329	Evidence at protein level
S1	Q28661	S01.218;		PROC	Oryctolagus cuniculus (Rabbit)	458	Evidence at transcript level
S1	Q2F9P2	S01.215;		F7	Pan troglodytes (Chimpanzee)	466	Inferred from homology
S1	Q2VG86	S01.507;	NP_001036844.1		Bombyx mori (Silk moth)	369	Evidence at protein level
S1	Q5R8X6	S01.233;	NP_001126035.1	PLG	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	810	Evidence at transcript level
S1	Q7QBP4	S01.203;		CLIPB10	Anopheles gambiae (African malaria mosquito)	362	Evidence at protein level
S1	Q7SIG3				Salmo salar (Atlantic salmon)	236	Evidence at protein level
S1	Q804X6	S01.214;		F9	Gallus gallus (Chicken)	471	Evidence at transcript level
S1	Q863A0	S01.194;		C2	Gorilla gorilla gorilla (Western lowland gorilla)	752	Inferred from homology
S1	Q9GLP2	S01.218;	NP_999083.1	PROC	Sus scrofa (Pig)	459	Evidence at transcript level
S1	A0A1S4H5M5			CLIPA28	Anopheles gambiae (African malaria mosquito)	376	Evidence at protein level
S1	O46644	S01.153;	XP_045221205.1	CELA1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	266	Evidence at transcript level
S1	P16291	S01.214;		F9	Ovis aries (Sheep)	462	Evidence at transcript level
S1	P19236	S01.145;	NP_001005260.1		Canis lupus familiaris (Dog) (Canis familiaris)	280	Evidence at protein level
